Release-note,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8,Review9,Review10
"Release Note : Added a widget which works like a pinned app shortcut, to support devices which run below Android 7.1.","simple and small app so great in those regards one question when adding a widget the text is black which is hard to see against my dark wallpaper text on all my other apps is white can that be fixed   
 (0.81)","widget text color is wrong nice simple app otherwise but the widget doesnt stick to the standard android font of white text with a black outline the text is all black so barely readable to be able to tell which card is which   
 (0.91)","i had to get a new app after my previous one wouldnt work after my phone upgrade downloaded three different apps of this type and this was the easy winner simple interface easy to upload all my cards and nothing fancy a few cards added a number or letter at the end easily edited and it was weird having to select the style of scanning code makes me nervous if i did it right so well see how it works in practice   
 (0.90)","this app does what it says with no frills it replaced similar app that took a long time to open and had features i didnt use   
 (0.90)","does exactly what it needs to i make heavy use of it feature you could add the widget icons dont conform to my icon pack and cant be changed ummm i cant think of anything else how refreshing would that be an app that does everything you need and then its done   
 (0.88)","very useful app unfortunately the fixed product scanners with the glass window on the table cant seem to read barcodes on oled displays but thats not the apps fault hand scanners do work but not all stores have them in my case thats edeka   
 (0.86)",,,,
"Release Note : Add screen rotation lock menu option when displaying a card. If locked, the screen will transition to its ""natural"" orientation and further screen rotation will be blocked until unlocked again.",,,,,,,,,,
"Release Note : If a card is selected from the main screen but cannot be loaded, the application fails gracefully and posts a message.","installed and having a problem with a scanned card i tried today to use my phone instead of the card and it wouldnt scan properly we proceeded entering the numbers manually and realized that a one was added to the card number needs to be fixed update it seems it was only the air miles card as all the other cards are okay manually corrected the air miles card with me bar code thanks devs for a good app with no ads and respect for privacy   
 (0.82)",,,,,,,,,
Release Note : Fix case where layout IDs for intro wizard could not be found.,,,,,,,,,,
"Release Note : A change in v0.11 reduced the memory usage of barcode drawing, but affected the barcode dimensions. 1D barcodes could be squished, making them difficult to scan. This is now changed to maintain the barcode dimensions while reducing memory usage.","the barcode scanner st cbs wouldnt recognize or was unable to scan the barcode displayed by this app therefore its useless   
 (0.81)",,,,,,,,,
Release Note : Update German and French translations.,,,,,,,,,,
Release Note : Prevent a crash when rotation the screen in the intro wizard.,,,,,,,,,,
Release Note : Add an intro wizard which launches on the app's first launch.,"this app does what it says with no frills it replaced similar app that took a long time to open and had features i didnt use   
 (0.80)","i had to get a new app after my previous one wouldnt work after my phone upgrade downloaded three different apps of this type and this was the easy winner simple interface easy to upload all my cards and nothing fancy a few cards added a number or letter at the end easily edited and it was weird having to select the style of scanning code makes me nervous if i did it right so well see how it works in practice   
 (0.88)",,,,,,,,
"Release Note : Change the color scheme to be softer and compatible with the app icon, and change the layout when viewing a card to be cleaner.","widget text color is wrong nice simple app otherwise but the widget doesnt stick to the standard android font of white text with a black outline the text is all black so barely readable to be able to tell which card is which   
 (0.81)","app not able to save the cards that are photographed hence app uninstalled pronto   
 (0.89)",,,,,,,,
Release Note : Limit the width of generated barcodes to reduce memory usage and out of memory errors.,,,,,,,,,,
"Release Note : When editing a card, change the ""Enter Card"" button to say ""Edit Card"" if a card ID already exists.","brilliant app no need to create an account no hastle just name optional note then scan or enter number manually love it small suggestion would be to allow us to select a card logo or colour maybe a colour selector when creating a card that changes a highlight colour in the list andor the background colour when displaying the barcode also my ikea family card is 20odd digits long but the barcode image ends up quite crushed from the sides and rotating it to landscape does not stretch it meaning its hard to get the reader to read it   
 (0.80)",,,,,,,,,
"Release Note : When editing a card ID, pre-populate the existing ID to start.",,,,,,,,,,
